"GeneName","Ensembl","ENTREZID","exp.1","exp.2","avg_log2FC","p_val","p_val_adj","pct.1","pct.2","Description"
"TRAM2","ENSG00000065308",9697,0.203753576361682,0.149429734836707,0.448997748196809,4.84026607277165e-05,1,0.109,0.058,"translocation associated membrane protein 2"
"PDE4DIP","ENSG00000178104",9659,0.0808097799578365,0.059368799161729,0.44895607694105,0.0246308867018669,1,0.043,0.025,"phosphodiesterase 4D interacting protein"
"DDX58","ENSG00000107201",23586,0.338151098630335,0.247901875246601,0.448887374934128,0.00150665105430875,1,0.115,0.074,"RNA sensor RIG-I"
"CDC73","ENSG00000134371",79577,0.353551042516803,0.259184177731933,0.448886341824045,1.34398145287116e-05,0.329974326308927,0.166,0.098,"cell division cycle 73"
"PANK4","ENSG00000157881",55229,0.0828766513992333,0.0608875659626365,0.448847644819593,0.0674925536130759,1,0.035,0.022,"pantothenate kinase 4 (inactive)"
"TOP3A","ENSG00000177302",7156,0.0884960002935925,0.0650142072036408,0.448633767538992,0.0230339259092032,1,0.044,0.026,"DNA topoisomerase III alpha"
"VEGFA","ENSG00000112715",7422,0.164731723717561,0.120877900963786,0.448598153896029,0.080673353843328,1,0.051,0.035,"vascular endothelial growth factor A"
"ZNF28","ENSG00000198538",7576,0.0433469559570687,0.0319331709342659,0.448575828431754,0.287373612946515,1,0.022,0.015,"zinc finger protein 28"
"DNAJC5","ENSG00000101152",80331,0.212324728677154,0.15577292528723,0.448404265898079,0.00535569710153369,1,0.11,0.074,"DnaJ heat shock protein family (Hsp40) member C5"
"SLC25A19","ENSG00000125454",60386,0.0768851502879302,0.0565172474969796,0.448363394898819,0.0207724071157343,1,0.041,0.023,"solute carrier family 25 member 19"
"SASH1","ENSG00000111961",23328,1.026601422625,0.752586164912997,0.448273792346493,7.37946017769447e-09,0.000181180506282755,0.345,0.217,"SAM and SH3 domain containing 1"
"TRIM23","ENSG00000113595",373,0.127873682970439,0.0938956695516887,0.448206935324955,0.0472699619502484,1,0.049,0.032,"tripartite motif containing 23"
"RP11-326C3.12",NA,NA,0.0180608704779932,0.0134099185792497,0.448012888673788,0.038556977339961,1,0.013,0.005,NA
"HLA-DPA1","ENSG00000231389",3113,8.13762575393521,5.96567825043865,0.447962970746248,3.58776290774227e-16,8.80867549108882e-12,0.828,0.639,"major histocompatibility complex, class II, DP alpha 1"
"HECW2","ENSG00000138411",57520,0.778707156406448,0.571043307200939,0.447911364456062,8.22939459836267e-09,0.000202048096179,0.25,0.14,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"TAF1","ENSG00000147133",6872,0.21381179041667,0.156950547309145,0.447600641094401,0.000136209008578782,1,0.103,0.056,"TATA-box binding protein associated factor 1"
"PHACTR2","ENSG00000112419",9749,2.39752617599505,1.75831972591898,0.447489205215732,8.03454781023177e-09,0.00019726421783681,0.546,0.407,"phosphatase and actin regulator 2"
"RP11-680F8.3",NA,NA,0.0258825945376441,0.019151281183409,0.447459655174695,0.0112588897800949,1,0.019,0.007,NA
"ZNF585B","ENSG00000245680",92285,0.0458832250086807,0.0338298954882932,0.446980235157507,0.0056605103341717,1,0.028,0.011,"zinc finger protein 585B"
"PEX12","ENSG00000108733",5193,0.0354415772136548,0.0261706328926442,0.446954135831083,0.0174713526540232,1,0.023,0.01,"peroxisomal biogenesis factor 12"
"USP6NL","ENSG00000148429",9712,0.119588461846597,0.0879030708223373,0.446903278419617,0.00207107693760612,1,0.07,0.039,"USP6 N-terminal like"
"ESF1","ENSG00000089048",51575,0.791126401279548,0.580731136689391,0.446463604481015,1.26680493827919e-06,0.0311025948446306,0.286,0.189,"ESF1 nucleolar pre-rRNA processing protein homolog"
"PGPEP1","ENSG00000130517",54858,0.192700409709787,0.141618687163437,0.446097161068511,0.00108624935694697,1,0.095,0.056,"pyroglutamyl-peptidase I"
"TM9SF3","ENSG00000077147",56889,0.801622878045773,0.588631191578091,0.4459805135569,1.18870609235876e-05,0.291851119795923,0.304,0.211,"transmembrane 9 superfamily member 3"
"SNX29","ENSG00000048471",92017,0.191590296092423,0.140848650768001,0.445640506417058,0.000246636259798268,1,0.096,0.053,"sorting nexin 29"
"UNC119B","ENSG00000175970",84747,0.121838121872982,0.0896419335831022,0.445490599421042,0.0396640534817449,1,0.066,0.045,"unc-119 lipid binding chaperone B"
"GMEB2","ENSG00000101216",26205,0.0565533891638913,0.0417066629509104,0.445301534593374,0.0231018158870763,1,0.033,0.017,"glucocorticoid modulatory element binding protein 2"
"BTBD10","ENSG00000148925",84280,0.293800526663308,0.215969430510563,0.445160652868051,0.0255400146526433,1,0.125,0.093,"BTB domain containing 10"
"PDE7A","ENSG00000205268",5150,0.115377973443765,0.0849231894967666,0.445066794451908,0.00518687857407803,1,0.054,0.03,"phosphodiesterase 7A"
"HDDC3","ENSG00000184508",374659,0.28441115843765,0.209128470876073,0.444778735689268,5.59450830822811e-05,1,0.134,0.077,"HD domain containing 3"
"MBOAT2","ENSG00000143797",129642,0.518044820301158,0.380791290598611,0.4447300633863,3.56140109160294e-07,0.00874395196010353,0.175,0.095,"membrane bound O-acyltransferase domain containing 2"
"ENDOV","ENSG00000173818",284131,0.359966030166665,0.264724229766396,0.444312282646056,0.000679181626973384,1,0.156,0.103,"endonuclease V"
"PHLDB1","ENSG00000019144",23187,0.582259891501973,0.428104389696016,0.444282958907728,2.70803595356105e-07,0.00664876987318308,0.205,0.117,"pleckstrin homology like domain family B member 1"
"LINC01003","ENSG00000261455",100128822,0.149715894837803,0.110210431250899,0.444230452921774,0.0020670994273529,1,0.079,0.046,"long intergenic non-protein coding RNA 1003"
"RABGAP1","ENSG00000011454",23637,0.375377050555342,0.276081150349373,0.444151614800117,0.000184393273830396,1,0.156,0.099,"RAB GTPase activating protein 1"
"TBX3","ENSG00000135111",6926,0.804625930007138,0.591633683493586,0.444035787890084,1.08521858558033e-06,0.0266442867131682,0.19,0.11,"T-box transcription factor 3"
"PCAT1","ENSG00000253438",100750225,0.0377569607737486,0.0279285955216521,0.443962763796621,0.102537813386153,1,0.02,0.011,"prostate cancer associated transcript 1"
"SLC12A6","ENSG00000140199",9990,0.194388945121552,0.143097300382694,0.44369644471202,0.00853974050888433,1,0.087,0.057,"solute carrier family 12 member 6"
"MTMR11","ENSG00000014914",10903,0.0782911295368164,0.0577397537011327,0.443617988049835,0.00483122982269234,1,0.042,0.02,"myotubularin related protein 11"
"CORO2B","ENSG00000103647",10391,0.0391776959436007,0.0289806902739275,0.44358945235346,0.0310020770293057,1,0.02,0.009,"coronin 2B"
"PINX1","ENSG00000254093",54984,0.190050374854781,0.139942827530813,0.443332870452894,8.97312303657479e-05,1,0.1,0.053,"PIN2 (TERF1) interacting telomerase inhibitor 1"
"ICAM1","ENSG00000090339",3383,2.60366183475513,1.91524089379159,0.443146921657962,2.91892728266701e-07,0.00716655026440404,0.404,0.286,"intercellular adhesion molecule 1"
"RABEP2","ENSG00000177548",79874,0.207928339903457,0.15312790988313,0.442985717998241,0.00446358339277428,1,0.104,0.068,"rabaptin, RAB GTPase binding effector protein 2"
"SHISA4","ENSG00000198892",149345,0.163737267843533,0.120633306521177,0.442833348203797,0.00469989845908717,1,0.087,0.055,"shisa family member 4"
"SYNE3","ENSG00000176438",161176,0.173868946794647,0.128170915930829,0.441894765626347,0.0103001794265683,1,0.089,0.058,"spectrin repeat containing nuclear envelope family member 3"
"CCDC43","ENSG00000180329",124808,0.238327062056197,0.175672131751045,0.441491820740958,0.000198730930435436,1,0.125,0.074,"coiled-coil domain containing 43"
"RNF24","ENSG00000101236",11237,0.255418720965458,0.188277674082886,0.441341388176661,0.0010930624788862,1,0.101,0.061,"ring finger protein 24"
"NUP205","ENSG00000155561",23165,0.0719952553099613,0.0531978667856363,0.441279293488286,0.00131213891588779,1,0.044,0.02,"nucleoporin 205"
"DPYSL2","ENSG00000092964",1808,1.46847465218769,1.08192285178442,0.440954002562463,1.55807441606502e-06,0.0382538430632284,0.428,0.316,"dihydropyrimidinase like 2"
"ATN1","ENSG00000111676",1822,0.520645420982915,0.383935367619335,0.440097240717602,2.18904162698777e-06,0.0537453500258038,0.228,0.141,"atrophin 1"
"NPDC1","ENSG00000107281",56654,4.48303031192129,3.30478771660375,0.43999328611307,1.30926225140528e-16,3.21450067965023e-12,0.73,0.507,"neural proliferation, differentiation and control 1"
"CNOT8","ENSG00000155508",9337,0.402871022682735,0.297149249369767,0.439982872650948,1.69796872690335e-05,0.41688528182931,0.175,0.105,"CCR4-NOT transcription complex subunit 8"
"ENGASE","ENSG00000167280",64772,0.0923970735862781,0.0682855959320344,0.439979601976516,0.107555058531722,1,0.039,0.027,"endo-beta-N-acetylglucosaminidase"
"AC002451.3",NA,NA,0.0409083098935919,0.0303339449689783,0.439838755690953,0.062462821161818,1,0.023,0.012,NA
"ITM2B","ENSG00000136156",9445,29.5186557518464,21.7643701047015,0.439670407400794,7.19279329124884e-12,1.76597460886742e-07,0.991,0.961,"integral membrane protein 2B"
"CLP1","ENSG00000172409",10978,0.10019249059876,0.0740485869818161,0.439658691844184,0.00544972839503326,1,0.053,0.029,"cleavage factor polyribonucleotide kinase subunit 1"
