"SLCO2A1","SLCO2A1_level","la_score"
0,"-",0.369472182596291
1.15690450548904,"+",0.108416547788873
1.45540772047331,"+",0
1.65924073491792,"+",0
1.17709096358427,"+",0.616262482168331
1.2075311936973,"+",0.458121051558997
1.71971756500341,"+",0.205624617892806
0,"-",0.416955369879764
0,"-",0.676788261667006
0,"-",0.63297330344406
0.902534869543791,"+",0.746077032810271
1.30454346239692,"+",0.238842469940901
0,"-",0.454045241491746
1.62464979246266,"+",0
1.3840112123785,"+",0
0,"-",0.441410230283269
1.06716396839128,"+",0.244752394538415
0,"-",0.196250254738129
1.62596052042962,"+",0
0,"-",0.393315671489709
