"cytotoxicity_score","inflammatory_score","general_stress_score","PTGDR","PTGDR_level"
0.55866149765354,0.211811871264709,0.266075452922411,0,"-"
0.419557233217711,0.244181298489179,0.575233412356953,1.71447050547872,"+"
0.52805549887778,0.244812353836445,0.552770216875933,0,"-"
0.799020608039176,0.160696388136159,0.366362279392396,0,"-"
0.414099163436033,0.173614462303723,0.399157081394328,0,"-"
0.0778412568863497,0,0.424488541575204,0,"-"
0.786829218526831,0.171832658970266,0.349094155178974,0,"-"
0.561926137522955,0.181966665429303,0.237480609945269,0,"-"
0.715823301367068,0.171684175359145,0.298138554745807,0,"-"
0.441134462354622,0.195330190430231,0.426551936078672,0,"-"
0.823811467047541,0.206503582167118,0.378362162320368,0,"-"
0.582330136706795,0.132039051189725,0.381742617145199,1.31361838758028,"+"
0.450112221995511,0.179665169456921,0.209924781221647,0,"-"
0.589828606406856,0.179665169456921,0.523765621798812,0,"-"
0.457151601713936,0.244404023905861,0.497629291421547,0,"-"
0.200520301979188,0.142321541259883,0.406517985190388,0,"-"
0.199806162007754,0.0835591521585805,0.346723446600521,0,"-"
0.0897775964088961,0,0.33956741885445,0,"-"
0.256019179759233,0.256913768142841,0.300904381420669,0,"-"
0.455264231789431,0.0899068265340213,0.321787104516054,0,"-"
0.296470108141196,0.217528490292884,0.479585565018878,0,"-"
0.240002040399918,0.178700025984632,0.441303011677935,1.65477614282002,"+"
0.00612119975515201,0.0158877463899922,0.496092721046624,0,"-"
0.550448887982044,0.1795166858458,0.253226797787339,1.51815382941634,"+"
0.0369312385227505,0.0351534949329968,0.378684110398923,0,"-"
0.185166292593348,0.0878651768811018,0.348625867064712,0,"-"
0.420169353193226,0.0894242547978767,0.459083326016332,0,"-"
0.567894307284228,0.308066372174171,0.557687242075687,1.36362966762804,"+"
0.518567639257294,0.206949033000483,0.312933532355782,0,"-"
0.461028361558866,0.126990608411597,0.431249451224866,0,"-"
0.226688430932463,0.137198856676194,0.438346942956654,0,"-"
0.120332585186697,0.0452132595864731,0.647540023999766,0,"-"
0,0.072125914102231,0.389513273041239,0,"-"
0.119771475209141,0.0885333531311481,0.388971814909123,0,"-"
0.182003672719853,0.116819481049779,0.369976878274358,0,"-"
0.0636094674556213,0.0743902891718327,0.381288963034507,0,"-"
0,0,0.440937161588667,0,"-"
0.00821260967149561,0.119937636883329,0.404761904761905,0,"-"
0.453121811875128,0.141579123204276,0.451546814177423,0,"-"
0.358243215670271,0.12105126396674,0.459273568062751,0,"-"
0.0500408079983677,0.0839303611863841,0.177290953258993,0,"-"
0.343603346255866,0.142804112996028,0.488629379225569,0,"-"
0.0831462966741481,0,0.411332572365148,0,"-"
0.296317078147317,0.166672853483797,0.405347264904733,0,"-"
0.834880636604775,0.271873491963325,0.410030146047356,0,"-"
0.315445827382167,0.0897583429228999,0.414727661193549,0,"-"
0,0.0688592746575597,0.633447478561185,0,"-"
0.54335849826566,0.179071235012435,0.403474112447683,0,"-"
0.506172209753112,0.180221982998627,0.386118184212837,0,"-"
0.457559681697613,0.179145476817996,0.329587028419235,0,"-"
0.640175474392981,0.265340213073982,0.488995229314836,0,"-"
0,0.211626266750807,0.435683554306787,0,"-"
0.326310956947562,0.165522105497606,0.4168495917113,0,"-"
0.0539175678432973,0.0657411188240098,0.440629847513683,0,"-"
0.437053662517853,0.19518170681911,0.364269616881786,0,"-"
0.270965109161396,0.217565611195664,0.450010243802499,0,"-"
0.273872679045093,0.175656111956643,0.506102379488981,0,"-"
0.488012650479494,0.230112476335424,0.409035033804548,0,"-"
0.432207712711692,0.181261368276476,0.38996692715193,0,"-"
0.242195470312181,0.131222391328557,0.448810255509702,0,"-"
0.0200469291981228,0.0832250640335573,0.398835133315773,0,"-"
0.456335441746582,0.0886447158394892,0.575877308514063,0,"-"
0.351815955927362,0.17224098890085,0.187417683729915,0,"-"
0.569322587227096,0.229370058279817,0.359498931717739,0,"-"
0.646194654152214,0.174616726678793,0.392937629876782,0,"-"
0.45531524178739,0.140465496120866,0.246729300201949,0,"-"
0.156651703733932,0,0.466985687944508,0,"-"
0.318506427259743,0.217454248487323,0.475283167969093,0,"-"
0.591001836359927,0.27246742640781,0.368659817952996,0,"-"
0.765047949398082,0.24113738446119,0.390069365176925,0,"-"
0.719036931238523,0.17639853001225,0.440907893581526,0,"-"
0.882268924709243,0.1774379152901,0.346840518629087,0,"-"
0.551469087941237,0.177586398901221,0.464585711358914,0,"-"
0.340083656396654,0.190281747652103,0.265680334826002,0,"-"
0.65940624362375,0.175953079178886,0.475502678022653,0,"-"
0,0.0877538141727607,0.365059853074604,0,"-"
0.115690675372373,0.0891272875756338,0.478063628647525,0,"-"
0.572485207100592,0.152975240357846,0.351611203793134,0,"-"
0.569934707202612,0.27554846133858,0.330860186729886,0,"-"
0.247143440114262,0.0332232079884183,0.413586208915035,0,"-"
0.225974290961028,0,0.410103316065209,0,"-"
0.0778922668843093,0,0.259958439429859,0,"-"
0.217659661293614,0.173688704109284,0.420903210700383,0,"-"
0.543766578249337,0.253387282378707,0.436854274592443,0,"-"
0.596459906141604,0.213222465570363,0.422366611057453,1.60465512133204,"+"
0.0501938379922465,0,0.46618081774812,0,"-"
0.226586410936544,0.173577341400943,0.410249656100916,0,"-"
0.29718424811263,0.248078993281117,0.443673720256388,0,"-"
0.521883289124668,0.180333345706968,0.204378493868352,0,"-"
0.0526423178943073,0,0.543345918576404,0,"-"
0,0.151490404246631,0.453741914713027,0,"-"
0.397877984084881,0.216860314042838,0.50419995902479,0,"-"
