,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
FMK_231,0.0049831702760474,35055,235.041080474192,175.022156844156,0.0217717082298738,0.425375362141358
Idelalisib_238,0.00348219612256021,35237,201.264524606635,159.991861571593,0.0168153418023631,0.331094381289753
Cabozantinib_249,0.000378580609062145,36252,44.7817766391834,21.1178547830271,0.00289456424012099,1.08444847702778
CP724714_255,0.00113614539606385,24894,143.333712140295,141.859814612793,0.00706720949754972,0.0149120045557635
Zibotentan_266,0.000623617084860162,25065,248.056254040135,283.307546623199,0.00440129750276307,-0.191701700927632
NSC.207895_269,1.08775389995891e-05,23497,3770.49022822947,1188.44243503438,0.000193958121775079,1.66568008603128
AR.42_272,0.00282330150451511,34884,1095.13469505055,127.408990228304,0.0141938582487267,3.10356933795338
CUDC.101_273,0.00019496612610338,36526,1318863.59688339,33.3784121790706,0.00159005707288757,15.2700205094875
BIX02189_279,4.30414217537424e-07,38658,118.967073290566,93.7347474670275,1.21509244489411e-05,0.343906472598129
JNJ38877605_284,1.86503286197191e-05,37416,75.7111025306275,70.1770565756846,0.000285194608476537,0.109505439078951
KIN001.236_286,0.00426773262023005,34855,182.201780226879,114.258684842167,0.0195782233953054,0.6732332260534
KIN001.244_287,8.62790627944809e-05,36848,62.1578136694462,31.1916330760382,0.000837078667482334,0.994776670727255
KIN001.260_290,0.00954955956199951,34708,244.519125667961,163.337475562676,0.0342735909970463,0.582091477913428
NVP.BHG712_295,0.00953915949631031,34214,106.493069983138,38.1170335301159,0.0342735909970463,1.4822517998493
OSI.930_298,2.37059395144762e-05,37156,92.6982158751374,63.406033918963,0.000334618453915876,0.547921433827247
PHA.793887_301,0.000729885306250176,25134,407.178587339553,1008.74094340883,0.00496051680358916,-1.30882212063954
PIK.93_303,0.0123085022572259,34566,258.973484322462,59.4292815573211,0.0403323243607312,2.1235585459928
TPCA.1_305,4.30651925933479e-08,39336,121.873897205477,29.4863111526005,1.75610285352874e-06,2.04727191219987
Foretinib_308,0.000702244385592409,35986,7.17656566216932,1.97883443795075,0.00486271112287574,1.85864269675569
YM201636_310,0.00534172720432383,35019,13.854015501328,10.3715273317933,0.0227955102789168,0.417675829241494
XMD15.27_332,0.00831212716996143,26319,129.117250623113,145.828434193161,0.0314489759935654,-0.175590285542926
Selisistat_341,0.01257121813727,26549,275.76732179242,285.857158912045,0.0408286465166202,-0.0518429123318734
THZ.2.49_344,9.83917094710538e-09,39746,1816.53637335092,103.336148394585,5.1585367679824e-07,4.13577333177898
Pilaralisib_372,0.000185546400612006,24557,930.727092646522,173.517669119623,0.00154762565965014,2.42327562505628
Voxtalisib_375,0.00581151465901474,34975,105.707041551608,98.7165970056457,0.0245152399983725,0.098706916023382
Brivanib..BMS.540215_376,0.00914211849406428,26371,168.892918464453,291.144705896343,0.033890479669915,-0.785627546960884
LIMK1.inhibitor.BMS4_406,0.0157785651990912,34423,250.726237279384,151.736321743603,0.0474650280989055,0.72454650434581
MetAP2.Inhibitor..A832234_410,0.00686437902888539,26216,12.1663670016052,16.5850592473662,0.0276855982404639,-0.446985736675524
Alisertib_431,2.20255855103306e-05,34917,30.5683292528031,12.6357974256367,0.000323335595291653,1.27452098881386
