,p.value,statistic.t,mean_case,mean_control,p.adjust,log2FC
Ruxolitinib_206,0.000145299250648125,3.87136294491692,63.6517146436739,58.2892629907416,0.000392094301381339,0.126969217500066
TL.2.105_211,0.0088912401004223,2.6431262947033,62.6311498104729,56.2279005807612,0.0140650220554094,0.155594183820668
BX.912_222,7.71178415388774e-07,5.11842733557937,19.4878109873596,14.093342877707,4.87969790427034e-06,0.467558192668867
ZSTK474_223,0.013023779218753,2.51248158458461,2.79768709466112,2.33914878270102,0.0201676243598412,0.258250986385003
Genentech.Cpd.10_225,0.00190494636134825,3.15052412455007,11.1763040405727,9.53223002516742,0.00369568457885001,0.22955750234351
GSK1070916_226,0.000729679182105393,3.43331050098563,7.64255228237042,6.34462269089871,0.00157770509888002,0.268520145741552
Enzastaurin_229,0.0045075308182019,-2.8692857541318,25.7694720136057,28.8351994337534,0.00769425028037255,-0.162168022221075
GSK429286A_230,7.14086212105522e-07,5.11669132082093,144.906081196618,116.259873749897,4.64753103097002e-06,0.317764893965312
FMK_231,0.00013557564491371,3.88594084389536,166.796688459955,151.317671038944,0.000373343568601739,0.140510169299761
IC.87114_236,1.20289473880374e-09,6.38391895525397,207.307047749174,175.527139266907,3.39586437800749e-08,0.240075052901071
Idelalisib_238,1.0746561897236e-07,5.53149569432639,96.9536585133685,77.5696592642976,1.01127902981683e-06,0.321802874549358
UNC0638_245,0.00457515194673892,2.86704286017192,22.7770480506714,20.2932396374007,0.00777352205765363,0.166581586035935
Cabozantinib_249,8.91582922179108e-10,6.42551449974119,19.1170466005054,15.1184799849805,3.27210932439733e-08,0.338546560050535
XMD14.99_253,0.00183920824230742,3.1549353413639,95.7273678827731,86.7938144258188,0.00359036928152566,0.141339212447458
Quizartinib_254,3.03808376336513e-07,5.29968744275734,10.7419770656892,9.32307135881639,2.28276008513188e-06,0.204382331911915
CP724714_255,1.41793273628519e-05,-4.4440231989262,76.4535433762928,83.3990320581827,5.53597142783685e-05,-0.125447272210422
JW.7.24.1_256,7.41927540545978e-06,4.6347580584559,5.52872480960283,4.13503798384298,3.28057117325752e-05,0.419046181982685
NPK76.II.72.1_257,0.00849378789582767,2.66169420194135,22.2061153104863,18.8215525273905,0.0134944595574405,0.238571396925577
STF.62247_258,4.86141828229418e-06,4.70044723542064,98.2797271108389,84.9370551337662,2.34755330210785e-05,0.210499762193609
NG.25_260,4.54626537839788e-05,4.17083826086223,19.1156638947708,15.1080700495565,0.000148971374452859,0.339435928371084
TL.1.85_261,2.00881751571593e-08,5.84232692790522,35.8388557694612,26.3458277286854,2.73050380839906e-07,0.443950070301585
FR.180204_263,0.015932105950771,2.4311985755211,150.914873975889,143.598283745271,0.024261754705116,0.071696496545935
