,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
JNK.9L_157,0.000552858570997004,857,0.659607615885682,0.748876968630023,0.00422706449074793,-0.183120664566618
HG6.64.1_159,1.90868376803396e-05,2081,2.78843840707794,2.52680740303633,0.000412051142863803,0.142141699959439
JQ12_164,0.00254715535857648,926,3.58981461796456,3.89055706033413,0.0129834168971885,-0.116067395335291
FH535_173,0.0107716494844281,1000,6.81726241403878,7.60096156444865,0.0352963871498671,-0.156989421979243
GSK650394_177,0.00239229509204738,923,27.3058939476896,33.624233190888,0.0125424614111627,-0.300288978097373
Bexarotene_186,0.0122180747399575,1801,37.2525879130934,33.5719976998768,0.0393336265751263,0.150082265065089
GW.2580_193,7.92402174969862e-05,779,196.991249805799,233.420305793251,0.00121171499255808,-0.244798522270721
Bryostatin.1_197,0.00603390535643961,969,0.0596159580429962,0.0659829993097431,0.0223681137960943,-0.146395794203646
Dacinostat_200,1.35540875859186e-06,639,0.0498165964813263,0.0612626500962568,5.52705571559124e-05,-0.298381317700143
GSK1904529A_202,0.00146263735019694,900,9.13319448711249,10.0015831882583,0.00879980176266029,-0.131036927461795
ZSTK474_223,0.000621287454340927,1946,2.84598360793595,2.18429548379238,0.0044708332498651,0.381759320212836
AKT.inhibitor.VIII_228,0.0073022690434217,1829,14.0844486290564,11.8674414497597,0.026018764455687,0.247094154935821
Enzastaurin_229,0.00254715535857648,1882,30.266436431035,24.4601900317106,0.0129834168971885,0.307283210074667
GSK429286A_230,0.00332982926212485,939,119.599213607544,140.019174548044,0.0160795702526292,-0.22741650316453
Idelalisib_238,0.000491503981973627,1956,95.5559395797405,77.2018251182892,0.00409959003146185,0.307710596772266
Cabozantinib_249,0.00450104757754222,1854,18.1186576734593,15.5827549814731,0.0201449324507072,0.217525756980381
CP724714_255,4.50392159307624e-07,605,72.4088731061822,89.440717907795,2.75489870776497e-05,-0.304765269770931
NPK76.II.72.1_257,0.00848395020530424,987,18.8053530008513,22.1299329130472,0.029099156311651,-0.234855689723213
NSC.207895_269,0.000243865827536144,823,52.2455274897413,69.9384019868814,0.00229341336862687,-0.420777292777478
Pelitinib_282,0.00407459490440449,1859,7.86602524269205,5.73677565697361,0.0189288143027398,0.455394715119469
Omipalisib_283,0.0080221327922477,1824,0.0612147064752475,0.049364400716902,0.0280392641405229,0.310407280612326
JNJ38877605_284,0.00189534672656921,1896,78.9335858779722,68.6824992374321,0.010229297774278,0.200696753507552
SU11274_285,0.00102667768302034,884,41.0907077283389,47.2294713516658,0.00649639154600799,-0.200875208156001
Amuvatinib_293,3.4528777811092e-06,669,39.8215299206399,55.2688397491422,0.000105600512138923,-0.472917676928989
SB52334_304,0.000468789410956585,850,73.1793626637444,85.5064334764579,0.00400106311211783,-0.22459612102976
Selisistat_341,0.000249963309932084,824,220.545482181073,253.211703252091,0.00229341336862687,-0.199267879086872
KIN001.270_345,0.00294477830460704,933,135.009075094631,151.982725334299,0.0146045086187944,-0.170850967139966
Pilaralisib_372,5.75779062350272e-05,767,24.5468591515443,30.5253739613011,0.000918743112532826,-0.314470530594722
Brivanib..BMS.540215_376,0.0050659353938315,960,73.2480886128212,82.8821207967701,0.0206081738764508,-0.178269806008991
Sphingosine.Kinase.1.Inhibitor.II_408,0.00271113372819689,929,30.9902340654989,33.7612000267857,0.0136299462773734,-0.123552533440903
eEF2K.Inhibitor..A.484954_409,0.00516608173469612,961,262.605185981079,283.888114433045,0.0206081738764508,-0.112427041745443
MetAP2.Inhibitor..A832234_410,0.000108456780990836,791,9.91380853739034,11.5989255052756,0.00159214554494548,-0.226479862148303
Venotoclax_412,0.00580543942620331,967,2.76728463740816,3.05722131759109,0.0221937111397564,-0.143749950889213
CPI.613_415,2.87185803584646e-06,663,172.562371974659,201.662354894066,9.58156271959683e-05,-0.224823883052769
Pemetrexed_428,0.00848395020530424,987,20.6899456104404,26.1271712323859,0.029099156311651,-0.336621081034508
Alisertib_431,0.00913664182629676,1817,6.69463399076274,5.25026556635073,0.030762821561935,0.350614784322193
C.75_435,0.0050659353938315,960,89.3728967507212,103.446383826355,0.0206081738764508,-0.210973923058603
Trichostatin.A_437,0.000190105237831054,813,0.230812838880854,0.27624642727478,0.00229341336862687,-0.259232330485835
Panobinostat_438,0.0156358682956067,1021,0.0430506118856199,0.0489873976451664,0.0470357677417021,-0.186376910410784
CD532_449,0.00424056988771548,951,1.18300497709749,1.3744826149254,0.0194536143598948,-0.216432515763225
SB505124_476,0.00603390535643961,969,32.5661334259965,37.9295553278856,0.0223681137960943,-0.21995001925365
A.83.01_477,0.00627043981047481,971,61.8612435054225,66.9473197227826,0.0230125141044426,-0.113990463429221
LDN.193189_478,4.04874384300392e-05,2054,2.5699811123589,2.17065994743452,0.00074294449519122,0.243624023557351
FTY.720_546,0.00057934125989748,1949,9.4472241082877,8.19005122725257,0.00433914780372194,0.206018006716529
AGI.6780_562,0.000226400009236214,820,4.17807527697379,4.65101424616993,0.00229341336862687,-0.154706872999353
Kobe2602_563,0.000249963309932084,824,83.9381169751894,96.9142942434108,0.00229341336862687,-0.207383370794231
RU.SKI.43_576,0.00516608173469612,961,91.0122679763018,104.411517235632,0.0206081738764508,-0.198147927609155
Methotrexate_1008,0.000697530152180986,867,0.717381737174514,0.915639265309746,0.00465442847000767,-0.352038313041382
Navitoclax_1011,0.00189534672656921,912,4.70924324773851,5.90712089315241,0.010229297774278,-0.326959893519196
Vorinostat_1012,1.51929836553325e-05,719,2.53513955995591,3.48323420880806,0.000348489062594189,-0.458362311327327
Nilotinib_1013,0.00128228732097127,894,17.0103630049851,19.0974463043162,0.00784332411327427,-0.16696580633053
Refametinib_1014,4.40490724493759e-06,2131,10.1376066567018,4.47883765244855,0.000124353919914776,1.1785208150855
CI.1040_1015,0.00163048494726069,1903,12.7343172907076,9.08158719208274,0.00949822183562971,0.487705251282564
Olaparib_1017,9.55581487156459e-06,703,33.4606291518825,41.968725331265,0.000233798937190947,-0.326850074273644
Veliparib_1018,3.43392307935003e-05,748,45.6457829429626,54.0506557182013,0.000663289352695505,-0.243830539463681
Lenalidomide_1020,9.44801810246037e-08,559,45.4134030887918,56.9301434878484,1.15580754786765e-05,-0.326074585638918
Axitinib_1021,0.00399383825257318,948,8.1831063071441,9.82954432891514,0.018791521008902,-0.264475944504083
Lestaurtinib_1024,0.0126617838979046,1799,0.71744508874203,0.561444740611006,0.0397168776968459,0.353724381700966
VX.702_1028,0.000237908087134154,822,18.1427333222541,20.7583265966085,0.00229341336862687,-0.194298323795877
Vismodegib_1033,0.000527507063257306,855,80.8963871750284,92.0002773150871,0.00411904451522194,-0.18556293640034
SL0101_1039,0.00177733495260002,909,74.6316176902926,85.2303494122351,0.00988305950915466,-0.191580288921712
JNK.Inhibitor.VIII_1043,0.0135921954218917,1013,78.7275394321549,85.9526685538791,0.0412259150399524,-0.126674042818093
Mirin_1048,0.000837813890807375,875,111.492049099265,135.890069676703,0.0053943455776545,-0.285499203336585
PD173074_1049,0.0133540995879632,1012,13.8512172949619,15.5200567441015,0.0408412879065209,-0.164121061192914
RO.3306_1052,0.00306836331542481,935,29.0185815424624,32.5546905728789,0.0150145244901454,-0.165888425253753
MK.2206_1053,0.00346803146580845,1867,6.68607998985356,5.40005740194477,0.0165294486746974,0.308185871914436
Palbociclib_1054,0.000527507063257306,1953,5.47794590257596,5.10583796522995,0.00411904451522194,0.101487264525662
Pictilisib_1058,0.000190105237831054,1995,4.11578235038033,3.16898851789697,0.00229341336862687,0.377144259609369
