Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
T,HMDB0001220,Prostaglandin E2,Myeloid,PTGER4,1.462339959,0.580666667,0.399666667,Receptor,-473.9649251,0,-14.98059852,3.21E-46,-1.730321351,0.041786439,0,0,0,5.06E-45,0.12528449,0
T,HMDB0001220,Prostaglandin E2,NK,PTGER4,1.544462872,0.580666667,0.230166667,Receptor,-554.1081673,0,-17.51368413,2.13E-60,-1.730321351,0.041786439,0,0,0,4.05E-59,0.12528449,0
pDC,HMDB0001403,Prostaglandin D2,NK,PTGDR,3.493594233,0.463414634,0.122666667,Receptor,-4739.380525,0,-149.7974915,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Endo,HMDB0001220,Prostaglandin E2,Myeloid,PTGER4,1.628762492,0.637399146,0.399666667,Receptor,-567.6557831,0,-17.94188332,6.50E-63,-1.730321351,0.041786439,0,0,0,1.28E-61,0.12528449,0
Endo,HMDB0001220,Prostaglandin E2,NK,PTGER4,1.720201158,0.637399146,0.230166667,Receptor,-636.7185229,0,-20.12474775,3.48E-76,-1.730321351,0.041786439,0,0,0,7.95E-75,0.12528449,0
Fibro,HMDB0000641,L-Glutamine,Fibro,SLC1A5,1.124448043,0.548758465,0.198871332,Transporter,-368.2233065,0,-11.6384256,9.47E-30,-1.730321351,0.041786439,0,0,0,1.15E-28,0.12528449,0
Mast,HMDB0000641,L-Glutamine,NK,SLC1A5,1.459725158,0.810329986,0.049333333,Transporter,-740.2604575,0,-23.3973953,3.44E-97,-1.730321351,0.041786439,0,0,0,9.56E-96,0.12528449,0
Epi,HMDB0000641,L-Glutamine,pDC,SLC1A5,1.462765821,0.5595,0.2485482,Transporter,-312.3253529,0,-9.871660264,2.70E-22,-1.730321351,0.041786439,0,0,0,2.71E-21,0.12528449,0
Myeloid,HMDB0000641,L-Glutamine,Endo,SLC1A5,1.487437465,0.850333333,0.077835785,Transporter,-502.6429076,0,-15.88702285,3.81E-51,-1.730321351,0.041786439,0,0,0,6.39E-50,0.12528449,0
Endo,HMDB0001852,all-trans-Retinoic acid,Epi,RARA,0.379434545,0.2078785,0.196333333,Nuclear Receptor,-157.2936775,0,-4.971577656,3.91E-07,-1.730321351,0.041786439,0,0,0,1.92E-06,0.12528449,0
NK,HMDB0001358,Retinal,T,RARA,0.067739006,0.2615,0.069666667,Nuclear Receptor,-530.0718755,0,-16.75396961,5.15E-56,-1.730321351,0.041786439,0,0,0,9.24E-55,0.12528449,0
Endo,HMDB0000169,D-Mannose,Myeloid,SLC2A1,0.072533445,0.416706217,0.067666667,Transporter,-145.7144486,0,-4.605593235,2.32E-06,-1.730321351,0.041786439,0,0,0,1.07E-05,0.12528449,0
pDC,HMDB0000169,D-Mannose,B,SLC2A3,1.344360114,0.636469222,0.3645,Transporter,-606.7033211,0,-19.17605795,2.49E-70,-1.730321351,0.041786439,0,0,0,5.35E-69,0.12528449,0
T,HMDB0000067,Cholesterol,Endo,CD36,0.569437671,0.095833333,0.312766967,Transporter,-1088.001939,0,-34.38845234,6.34E-172,-1.730321351,0.041786439,0,0,0,2.87E-170,0.12528449,0
