B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM773600	-0.0825522454589022	-0.192829343288247	0.0876553382722988	-0.115054983815924	-0.246691194503805	-0.140133033707803	-0.0660063583997484	-0.317623231347404	0.0646010434968036	-0.151884202541846	-0.259206906096177	0.100940569074599	-0.450070595797348	-0.329696339633615	0.228564242299995	-0.142957352314326	0.0195548255564966	-0.278665082162425
GSM773601	-0.278401288864707	-0.28463052689718	-0.00689798928340102	-0.176917157341189	-0.371873602532952	-0.132125775197758	0.0125612029611199	-0.359848009917055	-0.116750437039173	-0.03041331471112	-0.407640159162236	0.133375421083211	-0.449406789088341	-0.339599833185883	0.135794799705902	-0.084767911917531	-0.0412164458583624	-0.151425674232246
GSM773602	-0.148792166092831	-0.272871962513704	0.0767004668532759	-0.138705359795056	-0.315355145337284	-0.171903331271856	0.340753119464544	-0.239042326019553	0.254146609750693	-0.18205544501123	-0.0193177241200946	-0.0646470488614595	-0.448522980571117	-0.423657146722826	0.039476798952235	-0.0536342308827813	-0.0563108528478231	-0.131001386855554
GSM773603	-0.260670889505543	-0.236129712607801	-0.00881562890701528	-0.158555144194422	-0.354406923859254	-0.123620727151556	-0.016322366929959	-0.461865553166189	0.0552048873548519	-0.119382420425557	-0.269102865245409	0.0682351513117407	-0.361231630556792	-0.347952153007862	0.107485335128262	-0.15897414481737	-0.0823775464615406	-0.165438640679392
GSM773604	-0.022524654590661	-0.137079260727316	0.226848530131445	-0.0285701779145867	-0.268304901481647	-0.0454316014424973	-0.0255765063281414	-0.390506005857377	-0.022282551777841	0.10369456889554	-0.290172556812725	0.19604873427093	-0.463492848673753	-0.254180091215299	0.364165195810901	0.0547954006068703	0.0799230497509114	0.011722414256299
GSM773605	0.191015306177947	-0.181729826755547	0.125635412708018	-0.142044671169313	-0.262741031027345	-0.150864922893809	0.33229439954442	-0.317498438286269	0.168424878524721	-0.192635856125789	-0.257654882453273	-0.0215785410094409	-0.429814340010621	-0.278080289644518	0.175309326060862	-0.125186309472446	-0.0859264994417815	-0.157045593078333
GSM773606	-0.321403997772453	-0.270535645681064	0.00773671423900595	-0.16791777309286	-0.363315673938254	-0.214417335246563	0.460587762845111	-0.188485449698144	0.226443917425685	0.0716632077808869	-0.112998313422709	-0.00320878863544151	-0.39761860760859	-0.507985729090804	-0.000327079866701635	0.0416787576703716	-0.0272662459207486	0.0521266448704454
GSM773607	-0.206452946355053	-0.333189730373274	0.039205082382484	-0.139498078425843	-0.331699526341016	-0.197438627343937	0.355487942864458	-0.286183431131249	0.107275735089191	-0.0992655996397532	-0.21578230196102	0.0357029484643393	-0.423983543893989	-0.387843724685685	0.0220994862959525	-0.0943784589991175	-0.0527416201785137	-0.0912417313238929
GSM773608	-0.113756801581266	-0.260077298397097	0.0208502484689264	-0.107507299814124	-0.303103252127874	-0.239727315397559	0.283438199222216	-0.338808873076457	0.250456233937919	-0.214623320402726	0.00495551959089038	-0.0895206875904397	-0.383399525297575	-0.460626804459165	0.0558975367330264	-0.158402988468966	-0.106800113606852	-0.173908169588931
GSM773609	-0.284215366809823	-0.256399021208101	0.0500969190657012	-0.136684128059356	-0.328476166858654	-0.217700130064012	0.270736159553032	-0.241594576630783	0.211924943524753	-0.189135132958105	-0.120757284674661	-0.0107069530174581	-0.470971733652171	-0.469860536274932	0.0296738927351673	-0.110153983564573	-0.0683415508498503	-0.184527555712206
GSM773610	-0.184951510313897	-0.244422747261709	0.12949488787757	-0.0947269920407138	-0.31856704459463	-0.201988165044217	0.230929300358958	-0.141932231654297	0.140499623233525	-0.168632532101652	-0.194640533309709	-0.0490416380716487	-0.443824863202974	-0.399472715041071	0.188276174506852	-0.0892958047023623	-0.0291366879870608	-0.181530077521962
GSM773611	0.0329737354541925	-0.109199949226525	0.123144695335804	-0.0949128500078201	-0.300681876275564	-0.244874763970237	0.183109099633497	-0.232208138469301	0.072102402400028	-0.174655970900271	-0.229875407031464	-0.152273059409076	-0.424127303360145	-0.378393639367826	0.108707294154874	-0.188115795072003	-0.0564207623593352	-0.225610738057924
GSM773612	0.220040139525482	-0.0821891325072228	0.230951129182733	-0.0625263761559106	-0.287082310885534	-0.132843371213319	0.186331746020833	-0.321115568095847	0.216086492128173	-0.119844597996358	-0.21172991046052	-0.0198458972272159	-0.45181470273033	-0.317317156587374	0.235732898465045	-0.0528314708399759	0.0273149258613283	-0.153916417420678
GSM773613	-0.00629241675370002	-0.226252148121824	0.209124689152116	-0.0977234355950391	-0.403013754533388	-0.126329844873816	0.135180651701518	-0.310008372450992	0.041789404051053	0.119327761694276	-0.179786947148346	0.0891867951534516	-0.444315485709102	-0.238062700310791	0.274229289399607	-0.00106345253881424	0.0126900257586835	-0.116744748827861
GSM773614	-0.196051881206086	-0.235369550173227	0.0206308589909275	-0.147890008908277	-0.293795108031924	-0.217310731005487	0.0930354042850983	-0.242738783946967	0.107394250066727	-0.306464536029224	-0.202515827186288	-0.00131789428280466	-0.485494830566868	-0.378442309788018	0.0336117907576797	-0.234189265023661	-0.0385632879200436	-0.18278625285162
GSM773615	-0.27864757997536	-0.364221216700675	-0.0994941694945561	-0.150375911706569	-0.256427977482314	-0.293551626392305	0.0721162891270429	-0.179632844592088	-0.115860576848927	-0.132532690465106	-0.255291219822083	-0.161221079769481	-0.448490530116796	-0.219082963989949	-0.0469810715504984	-0.163150331874046	-0.0618127776557242	-0.17627913472094
