B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM1019171	-0.0667439134692599	-0.222542881139199	0.121628745283229	-0.251781107922213	-0.332205474449245	-0.159139708347209	0.0753019692553703	-0.327783370962858	-0.00401225522051186	-0.268418376512897	-0.0476474531977271	0.180775877050087	-0.425674545140041	-0.356977011426561	0.255447592179621	-0.137890436546594	-0.0286282635724676	-0.338211627833276
GSM1019174	-0.119383087823366	-0.156785517329313	0.0778869845853991	-0.275756151564773	-0.473713913080094	-0.0974673612595039	-0.0677895268893575	-0.230068624858582	0.0527078614661284	-0.1788175093264	-0.150536119600341	0.08211385904672	-0.447738419977895	-0.233223196031056	0.215449621646275	-0.20083338620101	-0.190903597255196	-0.22798986062443
GSM1019175	-0.214137558835795	-0.288684167339212	-0.128978155094304	-0.268427037156967	-0.39940694752521	-0.251325904444392	0.00509844320226185	-0.289312174635482	0.102638837943178	-0.353887673945115	-0.0401544702694774	-0.025713901022646	-0.374387610040125	-0.306361143467855	-0.0441753399981914	-0.217796487600945	-0.154283833203275	-0.326497037470966
GSM1019176	-0.0895944639287252	-0.218129850014002	0.100407299579091	-0.146282724063972	-0.402764728781466	-0.0460317260745815	0.249978432067484	-0.262023669000946	0.249153650038602	-0.22216863604199	0.0769730386864118	-0.0436105042798994	-0.288685357712322	-0.189020293553375	0.170034748769633	-0.0796297503406236	-0.0717349584395182	-0.197836707370028
GSM1019180	-0.185876712624047	-0.217947044735159	0.13125920708414	-0.196628973979081	-0.454956988854143	-0.119215431163605	0.116272108918966	-0.390800573617148	-0.108003731070037	-0.136793751454648	-0.0381642309417231	-0.0668723838205622	-0.380236801093743	-0.195320604265389	0.300022450001114	-0.0841859606466516	-0.0171583680631342	-0.287668528858713
GSM1019181	-0.135673854515741	-0.221691124504935	0.0414395464003579	-0.273831160843778	-0.381282712636376	-0.107435885342037	0.167888380864193	-0.413088258950653	0.0239702341841795	-0.220558707670242	-0.0475208299430121	0.147271472447522	-0.434065969943627	-0.306355886190184	0.188739884933477	-0.185275333441044	-0.0957069837624268	-0.301805027708264
GSM1019183	-0.103130139574423	-0.221404736870527	0.104268042221476	-0.264432672786205	-0.369092867891286	-0.11267135798038	0.0121292831191573	-0.344355444680562	-0.0078260934691129	-0.200901342773923	-0.0705564606994971	0.123516484931215	-0.40389731013	-0.186942822221535	0.287686487062514	-0.156041749999466	-0.0195999692908233	-0.305847989001625
GSM1019185	-0.00835481702307681	-0.264634819288732	0.0651885995533599	-0.218361156372357	-0.349240637736003	-0.147737549570896	0.0161755085837004	-0.355631631643463	-0.0104060783848049	-0.198506573634137	-0.0295403502047919	0.0352046625984451	-0.425987253555637	-0.267526133034921	0.202237322125971	-0.136600179501025	-0.118486761958486	-0.350342835089708
GSM1019186	-0.0191856156712865	-0.158483202540939	0.0638083175461922	-0.264448632718978	-0.390289338965149	-0.165528910134114	0.0261176166772013	-0.266351811152042	0.00343313078606995	-0.199631190886182	-0.12382348005341	-0.15034518851394	-0.400505044979875	-0.170551957848899	0.19886396670554	-0.134075992122342	-0.112940235000638	-0.308880136443972
GSM1019187	-0.169860035342752	-0.254272531679667	-0.165117246001757	-0.389864248865898	-0.335389646136388	-0.0700579997322835	-0.0975729807778453	-0.0972755826003974	0.0419409073441534	-0.318912582452847	-0.239728596469684	-0.16532059653269	-0.370348690996479	-0.277564061888527	-0.0239834335369347	-0.339889694181217	-0.196917048938047	-0.380853500860402
GSM1019188	0.0517986177478726	-0.172512443265307	0.0957749063402602	-0.245290927726423	-0.325976485074995	-0.247981009914163	-0.0326480563624095	-0.363403057491265	-0.050159757083504	-0.252025399854706	-0.228815128911049	-0.148373073734178	-0.41920921340543	-0.209175943992178	0.227556631075701	-0.0911715984878548	0.0201758770087851	-0.361849833755995
