B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
TCGA-55-7816_T_LUAD	0.196430327521453	0.179442991591184	0.32400807459907	0.126082805808037	0.140298267297436	0.279150548590243	0.53754946910797	0.0145160573831454	0.504223877543685	0.162342587488092	0.192725746269496	0.456765292499653	-0.146994187384552	-0.0226140025878817	0.417990219772853	0.347527625993596	0.322424178076766	0.0671243120471132
TCGA-95-7948_T_LUAD	0.206979952747409	0.101368780721526	0.200435213130564	0.0855505225156572	0.142398462054174	0.266710494197291	0.363056975447309	0.227406969520495	0.327104323869129	0.0635656024387333	0.224828744470766	0.344674745934725	-0.246534496952428	0.0494847557935442	0.32260473495643	0.245075138743357	0.130480174345942	0.0448251035852862
TCGA-05-4432_T_LUAD	0.396202581924364	0.272138915905117	0.303334518363168	0.199001245418955	0.229725328276181	0.343858567758025	0.418061831787071	0.229499367265954	0.371133186505988	0.222272888388313	0.228210098620411	0.405660563596399	-0.0854844610697856	0.227240494288247	0.39909743269655	0.330175003625856	0.269958478547867	0.22377638858109
TCGA-99-8033_T_LUAD	0.212957551295504	0.191422050110937	0.30304735289231	0.195364247125765	0.181953326837377	0.345141062569864	0.358720441239833	0.0832850370316882	0.306146519406809	0.304110796761749	0.150233510811391	0.42639099964788	-0.21447473777126	0.0672121073323421	0.502399070484012	0.361558254131646	0.291774230611191	0.0835919301443052
TCGA-78-7143_T_LUAD	0.324606436098676	0.271582944024021	0.257813296651457	0.138803033692439	0.136557343911357	0.267043023625662	0.319831202178321	0.18218494123148	0.306373563639797	0.051151623745206	0.114961250996622	0.329829760507656	-0.261384939619407	0.137228361544074	0.336531137920476	0.244893049675662	0.283536481908692	-0.00922416300950557
TCGA-73-4668_T_LUAD	0.262515142634226	0.194522943480884	0.243169014041848	0.0776627602173575	0.124349753191733	0.247387898630212	0.37653041686137	0.149189074611464	0.390401272472868	0.14404439841605	0.28673942631825	0.356603225550888	-0.219071658922763	0.0984517729501483	0.327644951454455	0.205342642459568	0.200850203805736	0.0514236058359399
TCGA-44-5644_T_LUAD	0.235265151550604	0.0838776450361372	0.117736250034871	0.0817238756384106	0.213388062151697	0.121594182951899	0.306937814582154	0.116814639234507	0.245067096504368	0.117054429129821	0.0669993243660048	0.220860553815294	-0.157694683271692	0.0785899586197401	0.282078032538774	0.23444309338234	0.139455139348688	0.112647229003163
TCGA-38-4625_T_LUAD	0.360950986658982	0.219811582381204	0.326359590854949	0.169221667924978	0.144258022105748	0.301494838947297	0.410899234478405	0.148707185142167	0.362964884137661	0.276266302050667	0.293707522965148	0.46620249552849	-0.303279777850457	0.0753376971817427	0.401834188880848	0.309612936776738	0.311564697695854	0.135426712888092
TCGA-91-8499_T_LUAD	0.237352203007158	0.229322021307586	0.30167455740966	0.194433758555684	0.253080944153882	0.235545151441289	0.412573605211957	0.0465361769848617	0.302070995244515	0.183939844169077	0.159577430612569	0.366441229188831	-0.163819547683191	0.137197081516387	0.389035661958144	0.34303823675854	0.226605215711044	0.163759923147065
TCGA-86-6851_T_LUAD	0.443761919014722	0.345152881502206	0.429973723030394	0.302075557958294	0.232642117384394	0.393392266604817	0.37114593803787	0.133746764284619	0.304464178905563	0.324542112162254	0.192775774743313	0.386279430262389	-0.284887008983961	0.255084326008375	0.529026578059566	0.450988155752842	0.358007554016718	0.131692515465442
TCGA-44-6779_T_LUAD	0.189081650215648	0.29464358020652	0.397435411388852	0.186636559062095	0.196892312048235	0.305188093503261	0.378004611629066	-0.147532148976928	0.357356878267685	0.471132752952401	0.340749654587822	0.46139251621499	-0.270642626921457	0.145137712504269	0.520293582789195	0.446175551354255	0.327545455573393	0.263686226206354
TCGA-78-7537_T_LUAD	0.288772649884621	0.180829321366918	0.197481669234438	0.121854821912667	0.166514806269024	0.294729935946289	0.460711488382746	0.0637083368624865	0.348413815129139	0.188251472496085	0.230795987950374	0.262515773601262	-0.20615554058147	0.134317996135357	0.365730054902165	0.29619941380525	0.196655065485594	0.11974284571136
TCGA-05-4434_T_LUAD	0.396719366814987	0.325179244423291	0.363683658787727	0.201259024658908	0.177767235933639	0.371474482960757	0.423210518346321	0.34172781060697	0.401457518173834	0.247182411883914	0.255552061078524	0.471145114131573	-0.076481933894689	0.293544837036717	0.458118027732051	0.374989824457865	0.328425833585218	0.143280626034075
TCGA-67-3773_T_LUAD	0.264748408735881	0.318237239896203	0.316570721685928	0.270140168099927	0.165220071523493	0.302760695199273	0.452117345101356	0.106137434068633	0.40978826756389	0.282423007552026	0.40217152157923	0.435824322865761	-0.355252660317178	0.0925038007184308	0.435658527310017	0.364955963419332	0.242713747842755	0.146224133504222
TCGA-55-6983_T_LUAD	0.525427630519244	0.320498368856795	0.362392833340529	0.236678470612352	0.207267300038957	0.342049061981297	0.448829819756202	0.259881939185404	0.380585815544678	0.155896959702504	0.259036253974182	0.341404050901294	-0.187738213673141	0.262930128244111	0.418414384985781	0.36255392892922	0.269074318250329	0.191482051665986
TCGA-05-5425_T_LUAD	0.387592821371281	0.308394267536452	0.418976665911373	0.312011612114937	0.218439000546583	0.379042643122484	0.450154936059544	0.260143712172336	0.3633141579151	0.367102130859069	0.20706286039046	0.469137254971934	-0.255401891770631	0.252264325297287	0.508736428533349	0.415595248777088	0.341416612004963	0.213109643189976
TCGA-97-A4M2_T_LUAD	0.37108431562786	0.280248305796457	0.348562696620891	0.188043254424216	0.21627381908647	0.312798086167758	0.532223369186027	0.274993706384234	0.408844582113815	0.263779123758209	0.30402427412064	0.406840218245193	-0.172969049655273	0.103817475767951	0.464328934915837	0.419088022421412	0.307597957242205	0.193857386864269
TCGA-50-5941_T_LUAD	0.448220883923853	0.35556498517878	0.405473370126764	0.263292367484277	0.307467301472572	0.364889725968379	0.46883981647652	0.268882590338596	0.429618164465264	0.283087231363215	0.332522146755305	0.490630911083193	-0.346402126722469	0.245148898936513	0.499296580576992	0.396821285696423	0.35927470928818	0.237490469898026
