HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-67-3773_T_LUAD	0.497845588576927	Hot	10.6939	25.8695	1.4209	0.3973	22.3339
TCGA-55-6983_T_LUAD	0.427667579581812	Hot	4.2543	2.2682	2.2775	0.7226	27.5221
TCGA-05-5425_T_LUAD	0.763967585436129	Hot	10.3775	1.9776	2.5163	0.2107	16.1601
TCGA-97-A4M2_T_LUAD	0.442526265704777	Hot	12.9111	13.2162	12.4776	1.9685	70.7649
TCGA-50-5941_T_LUAD	0.893101859318252	Hot	23.4002	5.9491	2.2473	0.818	51.5292
TCGA-78-7539_T_LUAD	0.658419196748141	Hot	10.3895	7.2258	2.1232	0.6628	13.8809
TCGA-67-3771_T_LUAD	0.372110160355377	Hot	6.247	0.3498	3.6421	0.4543	7.8502
TCGA-55-8299_T_LUAD	0.750600064677513	Hot	22.8352	2.6414	4.5716	0.99	76.2832
TCGA-05-5429_T_LUAD	-0.605600450419889	Cold	0.9936	3.3073	0.5149	0	7.8143
TCGA-93-A4JO_T_LUAD	0.515259285027882	Hot	11.5435	5.2154	6.2619	0.8263	67.0605
TCGA-44-A47A_T_LUAD	-0.346319523782411	Cold	11.2412	15.9826	1.518	0.4698	216.639
TCGA-44-2662_T_LUAD	-0.386494092550561	Cold	45.2196	11.4519	1.3776	0.667	5.101
TCGA-86-A4JF_T_LUAD	-0.0138701634445182	Cold	26.9035	1.853	1.3279	0.2444	29.743
TCGA-05-4402_T_LUAD	-0.365294931394369	Cold	5.1454	7.0204	0.6044	0.2577	66.7504
TCGA-97-8179_T_LUAD	-0.743176512897236	Cold	5.0707	3.4436	1.8921	0.3006	22.5784
TCGA-55-7914_T_LUAD	0.491714430579873	Hot	11.315	2.5564	0.9286	0.4721	14.8483
TCGA-49-4490_T_LUAD	-0.617851427309811	Cold	1.851	2.8816	1.6392	0.2687	40.9341
TCGA-55-8090_T_LUAD	-0.605833126198974	Cold	27.5935	2.8595	1.415	0.1839	161.7868
TCGA-MP-A4TC_T_LUAD	0.185282554953778	Hot	50.1293	2.3004	2.2383	0.697	6.0234
TCGA-64-1681_T_LUAD	-0.237608218835396	Cold	4.489	10.0115	1.5471	0.136	54.7802
TCGA-99-AA5R_T_LUAD	0.584542284439229	Hot	15.1589	8.1495	20.1399	2.2963	125.3389
