HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
GSM1019258	0.364027597453672	Hot	6.8824802725	8.124464439	11.7902795333333	4.16386097366667	7.760501711
GSM1019259	-0.359569057543699	Cold	6.082541419	6.990698495	9.30947766966667	3.942828075	8.919595449
GSM1019260	0.78948225320766	Hot	8.240846278	7.363811684	10.2783077973333	4.49266454533333	8.27735779
GSM1019261	-0.314065920346134	Cold	6.2399100855	4.731810558	8.62512733666667	4.06239686733333	7.502904904
GSM1019264	-0.329510313064777	Cold	7.606719141	7.554198205	9.647235126	4.20650326866667	9.337766086
GSM1019265	0.446344154478863	Hot	8.1650231525	7.694413321	8.426920486	4.220664089	8.721638184
GSM1019268	-0.415986535664957	Cold	6.356777415	6.152659868	9.157575158	4.007089885	9.209503699
GSM1019270	-0.55989137976591	Cold	6.0594238045	7.750757469	9.42362220866667	3.86700079966667	8.412563745
GSM1019272	-0.521815816140804	Cold	6.284618826	8.018153434	8.968808273	4.06593904666667	7.685160008
GSM1019273	0.337844420084894	Hot	7.6390544935	9.142240881	9.401946923	4.01271249366667	7.858171031
GSM1019274	-0.192694957121376	Cold	6.127992993	6.245193616	8.52409558266667	3.90479858966667	8.861619853
GSM1019275	0.279121923383089	Hot	6.7506364	8.038799481	10.1009031263333	4.29470167933333	8.655654581
GSM1019283	0.420164590455386	Hot	6.809736018	6.079782295	10.4990773976667	4.38902935333333	8.162855374
GSM1019285	0.500723539781256	Hot	7.489082961	6.162722901	9.640850877	4.09282243733333	8.181206471
GSM1019286	0.33180637174024	Hot	6.90250728	6.904525823	9.40865357066667	4.06250208666667	10.06481797
GSM1019288	0.0878387876923882	Hot	6.9450832945	7.70691214	9.16426336233333	4.03414785166667	10.23655891
GSM1019289	-0.281284791728803	Cold	6.5737165405	5.878471678	8.749706099	4.29486397666667	8.815381727
GSM1019290	-0.469010864513164	Cold	5.700853241	6.504755157	9.44593522366667	3.96222898166667	8.156060496
GSM1019292	-0.216849989783099	Cold	6.207391404	5.343202285	8.68886864633333	4.06330242566667	5.982469227
GSM1019295	0.407802559339403	Hot	6.758379443	5.648534232	10.148864131	4.17535933433333	8.435938594
GSM1019298	0.415827193054367	Hot	7.856070154	6.093432319	8.95473243866667	4.075548672	9.634960796
GSM1019299	-0.354488235222046	Cold	6.485522313	7.697056609	9.66160528	4.13562026966667	8.744376682
GSM1019300	-0.19296128764487	Cold	6.5133913495	5.272590602	8.33850321066667	4.25968656233333	8.555841507
