SLCO2A1	PTGDR	PTGDS	HPGDS
GSM1019290	8.156060496	3.96222898166667	9.44593522366667	6.504755157
GSM1019292	5.982469227	4.06330242566667	8.68886864633333	5.343202285
GSM1019295	8.435938594	4.17535933433333	10.148864131	5.648534232
GSM1019298	9.634960796	4.075548672	8.95473243866667	6.093432319
GSM1019299	8.744376682	4.13562026966667	9.66160528	7.697056609
GSM1019300	8.555841507	4.25968656233333	8.33850321066667	5.272590602
GSM1019302	9.342473545	4.02179563133333	11.2789112456667	8.111004082
GSM1019303	8.23437667	3.85028748333333	8.728036268	5.544186303
GSM1019305	9.144069574	4.02853398333333	7.99740171333333	5.47692054
GSM1019308	8.097716017	4.49666593566667	10.0603090993333	9.22917987
GSM1019309	8.490196174	4.02284479966667	9.45400023133333	6.666342545
GSM1019310	8.877105307	3.98539222	9.80065318933333	7.381813389
GSM1019311	9.803739428	4.39053054633333	9.59566497533333	7.395870932
GSM1019312	7.924403423	4.094331173	8.961576086	7.195633261
GSM1019313	8.336616254	4.02387969	9.16793137766667	5.402041481
GSM1019314	6.562058806	4.55883435233333	8.25951530133333	8.05846597
GSM1019316	6.245843315	3.88884467233333	9.578295324	5.272903009
GSM1019318	8.826570589	4.12510580533333	8.876485944	6.454165777
GSM1019320	8.922793776	3.99943015066667	10.067936785	6.927399324
GSM1019321	7.57907937	4.305863896	9.94126498566667	5.186651604
GSM1019324	9.597555442	4.02052959866667	9.577568678	7.908349402
GSM1019328	7.325719169	4.39616674666667	8.953591849	8.226051335
GSM1019330	8.303076557	4.11238842833333	8.55522703166667	5.024459124
GSM1019332	8.416015832	4.18916085566667	9.89289050266667	6.125016119
