SLCO2A1	PTGDR	PTGDS	HPGDS
TCGA-55-8091_T_LUAD	18.3799	0.6766	1.1504	9.6944
TCGA-50-6673_T_LUAD	181.0857	0.1601	3.2384	3.9678
TCGA-49-AARE_T_LUAD	9.7933	0.4773	3.5644	0.8225
TCGA-55-6985_T_LUAD	51.0284	0.5854	2.0083	3.4698
TCGA-55-6642_T_LUAD	31.903	0.9463	0.3072	1.093
TCGA-50-6591_T_LUAD	52.1132	0.1916	0	0.4979
TCGA-78-7166_T_LUAD	4.2162	0.3272	1.2217	0.1829
TCGA-05-4427_T_LUAD	247.2304	0.8892	0.4072	6.705
TCGA-49-4487_T_LUAD	30.9823	0.9699	3.5245	0.3268
TCGA-73-4676_T_LUAD	30.6496	0.1631	0.6109	7.3772
TCGA-49-4507_T_LUAD	4.6782	1.3002	1.0166	1.1101
TCGA-78-7148_T_LUAD	25.3226	0.1709	0.7133	1.9032
TCGA-55-8514_T_LUAD	32.517	0.2363	2.479	2.8056
TCGA-93-A4JQ_T_LUAD	35.639	1.725	3.5423	2.7059
TCGA-55-7576_T_LUAD	34.077	0.3211	1.4579	7.1952
TCGA-55-6969_T_LUAD	12.679	1.554	0.9254	0.7703
TCGA-93-7347_T_LUAD	49.2253	0.8514	4.316	11.8481
TCGA-69-7978_T_LUAD	307.6773	2.304	2.2705	7.9311
TCGA-NJ-A4YF_T_LUAD	21.4131	0.0826	0.3248	0.298
TCGA-91-6830_T_LUAD	53.0139	1.3472	1.6118	7.1531
TCGA-44-7672_T_LUAD	69.9534	0.312	2.2018	8.5579
TCGA-78-7540_T_LUAD	20.882	0.2364	0.5626	3.8148
TCGA-55-7227_T_LUAD	76.388	0.9606	1.9303	14.2905
TCGA-MP-A4T6_T_LUAD	42.8925	0.1184	8.958	3.3898
TCGA-99-8028_T_LUAD	36.8625	0.9162	7.4655	3.6768
TCGA-64-1677_T_LUAD	25.5135	0.2642	1.3575	0.872
TCGA-05-4403_T_LUAD	48.2736	0.1789	1.8348	10.7039
TCGA-44-6148_T_LUAD	15.7629	0.6587	3.5784	13.633
TCGA-55-6980_T_LUAD	59.988	0.685	1.684	10.6936
TCGA-55-8511_T_LUAD	9.6883	1.2014	4.7257	1.4706
TCGA-86-8278_T_LUAD	44.7499	0.6644	0.8867	7.8545
TCGA-78-7167_T_LUAD	62.8293	0.3655	2.6792	1.8357
TCGA-55-8615_T_LUAD	17.0075	0.1925	0.5408	0.9727
TCGA-55-A494_T_LUAD	99.6191	0.1019	0.4293	0.9928
TCGA-78-7147_T_LUAD	24.4393	0.5326	2.6243	3.1645
TCGA-97-A4M0_T_LUAD	25.052	1.4306	4.0055	10.2917
TCGA-55-7573_T_LUAD	46.1319	1.5512	4.0821	12.5097
TCGA-86-7714_T_LUAD	18.0913	0.2091	0.5289	25.5175
TCGA-64-1679_T_LUAD	100.7226	0.231	0.9827	14.1249
TCGA-64-1680_T_LUAD	7.3036	0.2715	0.801	5.3411
TCGA-86-8669_T_LUAD	118.5724	0.9325	0.7227	3.0641
TCGA-78-7145_T_LUAD	93.8601	0.1616	0.2906	15.7261
TCGA-86-8075_T_LUAD	18.6121	0.3529	1.2087	3.8094
TCGA-99-8025_T_LUAD	10.5355	0.3347	1.1113	2.6137
TCGA-L9-A743_T_LUAD	55.1067	0.4952	4.0586	6.7932
TCGA-86-8054_T_LUAD	27.2083	0.3341	1.0794	0.8742
TCGA-55-8094_T_LUAD	5.0756	0.0222	0.4998	0.642
TCGA-62-A470_T_LUAD	46.4963	0.363	1.6904	3.3698
TCGA-86-A456_T_LUAD	18.8341	0.0582	2.7817	8.4086
TCGA-MP-A4SW_T_LUAD	61.7571	0.5807	1.4403	4.539
TCGA-44-3919_T_LUAD	39.106	1.0453	4.6994	8.1904
TCGA-80-5608_T_LUAD	15.5701	0.1985	0.3604	0.5733
TCGA-69-7973_T_LUAD	73.345	0.6246	1.4409	1.1391
TCGA-86-8671_T_LUAD	58.8291	2.9901	12.544	5.1733
TCGA-67-3772_T_LUAD	32.7285	0.1078	2.0395	7.7309
TCGA-35-4122_T_LUAD	26.1817	0.3318	1.3391	9.5164
TCGA-55-8513_T_LUAD	58.5214	0.984	7.7415	5.8936
TCGA-35-4123_T_LUAD	97.7145	0.3515	1.1851	10.9398
TCGA-49-6761_T_LUAD	244.9607	0.2864	1.2518	0.7352
TCGA-55-6982_T_LUAD	14.8026	0.2342	3.1581	4.1135
TCGA-44-A4SU_T_LUAD	81.909	0.7749	2.9977	3.0965
TCGA-86-8279_T_LUAD	50.2827	0.1555	0.8933	6.4117
TCGA-05-4396_T_LUAD	35.8997	0.3104	0.598	1.0243
TCGA-86-8358_T_LUAD	11.9451	1.6291	1.0798	0.8444
TCGA-55-7815_T_LUAD	18.0666	0.8414	0.0556	6.7175
TCGA-78-7162_T_LUAD	111.6204	0.7695	2.3732	6.2011
TCGA-NJ-A55A_T_LUAD	39.4078	3.2923	11.7632	15.6797
TCGA-MN-A4N1_T_LUAD	63.3152	0.0546	0.6959	1.6566
TCGA-44-2668_T_LUAD	28.2969	0.801	0.4365	0.8061
TCGA-44-6777_T_LUAD	21.7606	0.4708	1.8783	28.5832
TCGA-55-8301_T_LUAD	60.201	1.0823	2.5738	2.2647
TCGA-05-4422_T_LUAD	6.0744	1.6754	1.3658	3.4242
TCGA-49-4506_T_LUAD	4.1898	0.291	1.1748	0.2334
